y0,y1
1074,  0.0603
1053,  0.0511
1062,  0.0655
1046,  0.0511
1046,  0.0671
1047,  0.0876
1046,  0.0578
1045,  0.0924
1043,  0.0920
1042,  0.0907
1030,  0.0766
1023,  0.0779
1023,  0.0898
1016,  0.0906
1015,  0.0913
1020,  0.0894
1018,  0.0913
1021,  0.0920
1020,  0.0925
1027,  0.0906
1019,  0.0912
1017,  0.0926
1022,  0.0916
1016,  0.0922
985,  0.0560
972,  0.0520
1001,  0.0953
1000,  0.0959
995,  0.0935
993,  0.0935
998,  0.0913
994,  0.0917
993,  0.0920
994,  0.0912
986,  0.0914
1000,  0.0885
994,  0.0872
1002,  0.0768
1008,  0.0767
1006,  0.0897
1013,  0.0754
1000,  0.0878
986,  0.0895
1012,  0.0691
997,  0.0781
1007,  0.0760
1002,  0.0744
968,  0.0619
1003,  0.0715
1004,  0.0688
961,  0.0618
955,  0.0621
993,  0.0675
952,  0.0610
949,  0.0626
948,  0.0612
947,  0.0627
951,  0.0605
949,  0.0618
953,  0.0619
953,  0.0624
956,  0.0618
952,  0.0611
950,  0.0627
983,  0.0650
939,  0.0609
941,  0.0599
940,  0.0629
937,  0.0610
979,  0.0637
933,  0.0633
930,  0.0608
928,  0.0608
931,  0.0620
970,  0.0668
928,  0.0656
930,  0.0612
927,  0.0616
928,  0.0645
931,  0.0589
931,  0.0614
928,  0.0607
921,  0.0614
923,  0.0622
926,  0.0616
924,  0.0611
921,  0.0609
914,  0.0619
903,  0.0648
906,  0.0604
912,  0.0610
906,  0.0644
911,  0.0613
905,  0.0601
906,  0.0618
901,  0.0672
901,  0.0608
901,  0.0610
899,  0.0599
893,  0.0609
889,  0.0636
891,  0.0595
882,  0.0612
888,  0.0601
891,  0.0585
874,  0.0638
873,  0.0608
869,  0.0648
1073,  0.0624
872,  0.0597
874,  0.0736
869,  0.0777
873,  0.0603
877,  0.0605
877,  0.0606
875,  0.0599
875,  0.0635
873,  0.0592
1067,  0.0654
868,  0.0652
