y0,y1
1066, 0.032
1065, 0.035
1066, 0.039
1041, 0.022
1048, 0.039
1048, 0.078
1057, 0.046
1048, 0.098
1057, 1.010
1048, 0.094
1030, 0.076
1021, 0.074
1030, 0.095
1030, 0.104
1023, 0.082
1038, 0.102
1031, 0.097
1038, 0.111
1035, 0.119
1039, 0.112
1032, 0.115
1030, 0.126
1039, 0.135
1031, 0.135
1005, 0.094
981, 0.068
1019, 0.103
1017, 0.113
1015, 0.105
1008, 0.105
1007, 0.102
1003, 0.110
1008, 0.110
1003, 0.100
987, 0.088
1006, 0.100
1002, 0.101
1010, 0.102
1015, 0.098
1021, 0.116
1032, 0.121
1017, 0.117
991, 0.103
1009, 0.102
995, 0.089
1006, 0.101
982, 0.044
991, 0.082
986, 0.074
976, 0.053
962, 0.048
986, 0.089
962, 0.059
962, 0.072
943, 0.053
942, 0.056
953, 0.063
950, 0.056
952, 0.046
944, 0.050
955, 0.049
953, 0.052
943, 0.049
942, 0.055
962, 0.077
935, 0.051
944, 0.064
953, 0.075
940, 0.058
953, 0.089
953, 0.097
937, 0.052
944, 0.081
936, 0.054
957, 0.105
932, 0.053
942, 0.081
920, 0.054
920, 0.057
940, 0.079
934, 0.058
921, 0.049
937, 0.074
920, 0.057
929, 0.055
924, 0.061
925, 0.060
921, 0.061
915, 0.061
909, 0.052
917, 0.054
911, 0.061
922, 0.057
907, 0.049
904, 0.058
901, 0.061
897, 0.058
903, 0.067
898, 0.064
892, 0.062
889, 0.061
897, 0.062
889, 0.068
883, 0.058
900, 0.070
890, 0.073
891, 0.073
876, 0.059
879, 0.068
883, 0.059
876, 0.078
876, 0.113
877, 0.064
880, 0.057
883, 0.063
887, 0.067
883, 0.071
875, 0.058
869, 0.062
864, 0.060
